date,time,value
10.04.20,10:15:00,159.2294794
10.04.20,10:20:00,160.4972249
10.04.20,10:25:00,159.2891853
10.04.20,10:30:00,162.1577431
10.04.20,10:35:00,167.2921336
10.04.20,10:40:00,166.372159
10.04.20,10:45:00,167.8561708
10.04.20,10:50:00,167.8037404
10.04.20,10:55:00,170.2019757
10.04.20,11:00:00,171.0784627
10.04.20,11:05:00,175.6401632
10.04.20,11:10:00,172.5271773
10.04.20,11:15:00,172.3233272
10.04.20,11:20:00,173.1970418
10.04.20,11:25:00,172.360829
10.04.20,11:30:00,168.5470036
10.04.20,11:35:00,170.0377921
10.04.20,11:40:00,170.1399179
10.04.20,11:45:00,170.2632652
10.04.20,11:50:00,177.0091326
10.04.20,11:55:00,177.5203401
10.04.20,12:00:00,178.7535296
10.04.20,12:05:00,179.1998741
10.04.20,12:10:00,175.2918579
10.04.20,12:15:00,176.4941327
10.04.20,12:20:00,174.7327796
10.04.20,12:25:00,169.7237797
10.04.20,12:30:00,168.7465874
10.04.20,12:35:00,168.4767834
10.04.20,12:40:00,169.9064059
10.04.20,12:45:00,170.372651
10.04.20,12:50:00,168.2772496
10.04.20,12:55:00,170.324069
10.04.20,13:00:00,172.5449808
10.04.20,13:05:00,175.9928358
10.04.20,13:10:00,179.532661
10.04.20,13:15:00,178.5662431
10.04.20,13:20:00,176.6367373
10.04.20,13:25:00,175.3054538
10.04.20,13:30:00,179.2096587
10.04.20,13:35:00,183.8705755
10.04.20,13:40:00,185.1133122
10.04.20,13:45:00,181.054964
10.04.20,13:50:00,180.4815897
10.04.20,13:55:00,185.4812953
10.04.20,14:00:00,188.5914259
10.04.20,14:05:00,185.2963922
10.04.20,14:10:00,182.5864946
10.04.20,14:15:00,176.7398528
10.04.20,14:20:00,175.7892413
10.04.20,14:25:00,177.0198381
10.04.20,14:30:00,178.6582803
10.04.20,14:35:00,178.871322
10.04.20,14:40:00,176.478341
10.04.20,14:45:00,175.0161455
10.04.20,14:50:00,175.2401235
10.04.20,14:55:00,175.6606465
10.04.20,15:00:00,178.5178898
10.04.20,15:05:00,181.7847851
10.04.20,15:10:00,177.5216119
10.04.20,15:15:00,173.1562911
10.04.20,15:20:00,170.6607344
10.04.20,15:25:00,171.0068851
10.04.20,15:30:00,179.2301131
10.04.20,15:35:00,178.4243936
10.04.20,15:40:00,173.8722459
10.04.20,15:45:00,175.6099315
10.04.20,15:50:00,171.2681267
10.04.20,15:55:00,170.7703726
10.04.20,16:00:00,170.4396002
10.04.20,16:05:00,172.1614549
10.04.20,16:10:00,174.2501725
10.04.20,16:15:00,175.7375658
10.04.20,16:20:00,171.618837
10.04.20,16:25:00,169.9811645
10.04.20,16:30:00,171.4199684
10.04.20,16:35:00,172.6711244
10.04.20,16:40:00,173.6314853
10.04.20,16:45:00,174.996756
10.04.20,16:50:00,174.9277992
10.04.20,16:55:00,178.9331136
10.04.20,17:00:00,181.4155721
10.04.20,17:05:00,182.2749753
10.04.20,17:10:00,179.0112667
10.04.20,17:15:00,178.6033083
10.04.20,17:20:00,179.0980837
10.04.20,17:25:00,177.9212497
10.04.20,17:30:00,173.7758553
10.04.20,17:35:00,180.7918693
10.04.20,17:40:00,176.5573909
10.04.20,17:45:00,176.3768576
10.04.20,17:50:00,175.6442694
10.04.20,17:55:00,177.3244485
10.04.20,18:00:00,182.1958854
10.04.20,18:05:00,186.2024546
10.04.20,18:10:00,189.4632947
10.04.20,18:15:00,189.9367526
10.04.20,18:20:00,186.0435292
10.04.20,18:25:00,181.3705157
10.04.20,18:30:00,185.4309149
10.04.20,18:35:00,183.5488648
10.04.20,18:40:00,190.2610627
10.04.20,18:45:00,195.3067478
10.04.20,18:50:00,188.2009548
10.04.20,18:55:00,183.7554741
10.04.20,19:00:00,185.0944187
10.04.20,19:05:00,190.1776467
10.04.20,19:10:00,191.1123431
10.04.20,19:15:00,190.2645509
10.04.20,19:20:00,189.351957
10.04.20,19:25:00,195.6732161
10.04.20,19:30:00,197.8238643
10.04.20,19:35:00,201.0070354
10.04.20,19:40:00,203.0344428
10.04.20,19:45:00,202.6414533
10.04.20,19:50:00,203.2267301
10.04.20,19:55:00,206.2419122
10.04.20,20:00:00,211.309823
10.04.20,20:05:00,220.0095545
10.04.20,20:10:00,230.8858311
10.04.20,20:15:00,240.1184761
10.04.20,20:20:00,249.2966204
10.04.20,20:25:00,247.3487538
10.04.20,20:30:00,242.8444326
10.04.20,20:35:00,236.2191095
10.04.20,20:40:00,237.0196972
10.04.20,20:45:00,242.6857511
10.04.20,20:50:00,244.3795078
10.04.20,20:55:00,247.8361181
10.04.20,21:00:00,254.7236341
10.04.20,21:05:00,262.9783894
10.04.20,21:10:00,263.9601709
10.04.20,21:15:00,262.459857
10.04.20,21:20:00,261.5787395
10.04.20,21:25:00,260.2190773
10.04.20,21:30:00,270.1615903
10.04.20,21:35:00,268.4081562
10.04.20,21:40:00,273.1445199
10.04.20,21:45:00,268.3582669
10.04.20,21:50:00,276.673552
10.04.20,21:55:00,289.0512368
10.04.20,22:00:00,281.1179005
10.04.20,22:05:00,267.301277
10.04.20,22:10:00,262.8838157
10.04.20,22:15:00,261.3673977
10.04.20,22:20:00,255.1570267
10.04.20,22:25:00,254.1934128
10.04.20,22:30:00,249.4875597
10.04.20,22:35:00,248.3781867
10.04.20,22:40:00,244.7115366
10.04.20,22:45:00,238.5679414
10.04.20,22:50:00,234.0554463
10.04.20,22:55:00,229.3511785
10.04.20,23:00:00,228.7289522
10.04.20,23:05:00,231.2937584
10.04.20,23:10:00,226.6784767
10.04.20,23:15:00,224.8229062
10.04.20,23:20:00,220.7725351
10.04.20,23:25:00,214.0785327
10.04.20,23:30:00,205.6660043
10.04.20,23:35:00,204.441884
10.04.20,23:40:00,198.1626033
10.04.20,23:45:00,193.2723208
10.04.20,23:50:00,188.0160506
10.04.20,23:55:00,183.5504955
11.04.20,00:00:00,182.2525097
11.04.20,00:05:00,179.4654859
11.04.20,00:10:00,179.6180598
11.04.20,00:15:00,174.1329645
11.04.20,00:20:00,170.934646
11.04.20,00:25:00,165.5429174
11.04.20,00:30:00,159.7124663
11.04.20,00:35:00,156.9211082
11.04.20,00:40:00,153.7289469
11.04.20,00:45:00,147.7110512
11.04.20,00:50:00,143.5214485
11.04.20,00:55:00,141.0775792
11.04.20,01:00:00,137.6416931
11.04.20,01:05:00,135.0464466
11.04.20,01:10:00,132.7273678
11.04.20,01:15:00,129.6658326
11.04.20,01:20:00,126.3941385
11.04.20,01:25:00,120.9509908
11.04.20,01:30:00,118.4471112
11.04.20,01:35:00,117.2982112
11.04.20,01:40:00,114.6602982
11.04.20,01:45:00,112.6619242
11.04.20,01:50:00,107.5593999
11.04.20,01:55:00,105.9791834
11.04.20,02:00:00,106.0670843
11.04.20,02:05:00,108.1756713
11.04.20,02:10:00,107.3266438
11.04.20,02:15:00,104.1592161
11.04.20,02:20:00,102.1042696
11.04.20,02:25:00,100.7046341
11.04.20,02:30:00,96.27661732
11.04.20,02:35:00,94.79863288
11.04.20,02:40:00,92.24174733
11.04.20,02:45:00,91.39765292
11.04.20,02:50:00,88.78490663
11.04.20,02:55:00,88.51922368
11.04.20,03:00:00,87.23654771
11.04.20,03:05:00,88.69776861
11.04.20,03:10:00,87.44770817
11.04.20,03:15:00,85.44242484
11.04.20,03:20:00,85.65060538
11.04.20,03:25:00,84.25320034
11.04.20,03:30:00,82.29334111
11.04.20,03:35:00,82.50254679
11.04.20,03:40:00,79.90043791
11.04.20,03:45:00,79.73916122
11.04.20,03:50:00,80.58394369
11.04.20,03:55:00,79.62374171
11.04.20,04:00:00,78.41294573
11.04.20,04:05:00,77.91838088
11.04.20,04:10:00,76.63076102
11.04.20,04:15:00,76.83407274
11.04.20,04:20:00,75.21637327
11.04.20,04:25:00,72.37675746
11.04.20,04:30:00,72.08662944
11.04.20,04:35:00,71.53907734
11.04.20,04:40:00,70.66539681
11.04.20,04:45:00,69.09643017
11.04.20,04:50:00,67.44003692
11.04.20,04:55:00,65.58291227
11.04.20,05:00:00,65.36466154
11.04.20,05:05:00,69.19980897
11.04.20,05:10:00,68.75496615
11.04.20,05:15:00,68.45668343
11.04.20,05:20:00,67.41208739
11.04.20,05:25:00,66.51689486
11.04.20,05:30:00,65.24709557
11.04.20,05:35:00,64.86551381
11.04.20,05:40:00,64.89440569
11.04.20,05:45:00,62.76524712
11.04.20,05:50:00,62.41453909
11.04.20,05:55:00,62.87766641
11.04.20,06:00:00,64.12123116
11.04.20,06:05:00,66.85582735
11.04.20,06:10:00,66.88247764
11.04.20,06:15:00,65.98761236
11.04.20,06:20:00,65.23214281
11.04.20,06:25:00,64.4838433
11.04.20,06:30:00,64.93617654
11.04.20,06:35:00,68.25556434
11.04.20,06:40:00,68.16944766
